"source_path","title","description","google_sites_file","content_type","notes"
"guide/N.C.F~Nanndemoya_Crowd_Funding/living-business-costs.html","日常生活費及び事業費基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__living-business-costs.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/PC_Fund_Participation_Benefits.html","何でも屋基金-PC-参加特典 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__PC_Fund_Participation_Benefits.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/PC.html","PC基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__PC.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/Smartphone.html","スマートフォン基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__Smartphone.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/Sponsor.html","スポンサー枠について | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__Sponsor.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/policy/Act-on-Specified-Commercial-Transactions.html","特定商取引法に基づく表記 | 何でも屋","","pages/guide__policy__Act-on-Specified-Commercial-Transactions.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/policy/privacy-policy.html","プライバシーポリシー | 何でも屋","","pages/guide__policy__privacy-policy.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/policy/terms-of-service.html","利用規約 | 何でも屋","","pages/guide__policy__terms-of-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/Life-Events/info.html","ライフイベント支援とは | 何でも屋","","pages/guide__service__Life-Events__info.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/Life-Events/rule.html","ライフイベント支援-贈与対象要件 | 何でも屋","","pages/guide__service__Life-Events__rule.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/main/assistant-service.html","アシスタントサービス | 何でも屋","","pages/guide__service__main__assistant-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/main/business-assistant-service.html","ビジネスアシスタントサービス | 何でも屋","","pages/guide__service__main__business-assistant-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/main/free-service.html","フリーサービス | 何でも屋","","pages/guide__service__main__free-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/main/kids-service.html","子ども向けサービス | 何でも屋","","pages/guide__service__main__kids-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/main/senior-service.html","シニアサービス | 何でも屋","","pages/guide__service__main__senior-service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/digital-service/MacStudioSheres.html","MacStudioShere’s | Nanndemoya","","pages/guide__service__subscription__digital-service__MacStudioSheres.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/Nanndemoya365/Business.html","Nanndemoya365-Business | 何でも屋","","pages/guide__service__subscription__Nanndemoya365__Business.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/Nanndemoya365/Lite.html","Nanndemoya365-Lite | 何でも屋","","pages/guide__service__subscription__Nanndemoya365__Lite.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/Nanndemoya365/Normal.html","Nanndemoya365-Normal | 何でも屋","","pages/guide__service__subscription__Nanndemoya365__Normal.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/Nanndemoya365/Plus.html","Nanndemoya365-Plus | 何でも屋","","pages/guide__service__subscription__Nanndemoya365__Plus.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/NanndemoyaCloud/guide.html","NanndemoyaCloud-詳細 | 何でも屋","NanndemoyaCloudの詳細比較一覧です。Google Workspace機能と「何でも屋」サポート詳細を掲載しています。","pages/guide__service__subscription__NanndemoyaCloud__guide.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/NanndemoyaCloud/info.html","NanndemoyaCloud-紹介 | 何でも屋","NanndemoyaCloudの各プラン一覧と料金・仕様のご紹介ページです。","pages/guide__service__subscription__NanndemoyaCloud__info.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/service/subscription/NanndemoyaCloud/rule.html","NanndemoyaCloud-追加規定 | 何でも屋","NanndemoyaCloudの追加規定ページです。ご利用にあたっての重要事項を定めています。","pages/guide__service__subscription__NanndemoyaCloud__rule.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/contact-site-links.html","連絡先とサイトリンク | 何でも屋ヘルプ","","pages/helps__articles__contact-site-links.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/life-events.html","ライフイベント支援 | 何でも屋ヘルプ","","pages/helps__articles__life-events.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/nanndemoya-cloud.html","NanndemoyaCloud | 何でも屋ヘルプ","","pages/helps__articles__nanndemoya-cloud.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/nanndemoya-house.html","何でも屋ハウスの利用案内 | 何でも屋ヘルプ","","pages/helps__articles__nanndemoya-house.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/nanndemoya365.html","Nanndemoya365 | 何でも屋ヘルプ","","pages/helps__articles__nanndemoya365.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/ncf.html","何でも屋基金の概要 | 何でも屋ヘルプ","","pages/helps__articles__ncf.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/policies.html","規約とポリシー | 何でも屋ヘルプ","","pages/helps__articles__policies.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/pricing.html","料金の確認方法 | 何でも屋ヘルプ","","pages/helps__articles__pricing.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/service-overview.html","サービスの選び方 | 何でも屋ヘルプ","","pages/helps__articles__service-overview.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/transport-cost.html","移動代金の確認方法 | 何でも屋ヘルプ","","pages/helps__articles__transport-cost.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/articles/usage-flow.html","利用の流れと支払い方法 | 何でも屋ヘルプ","","pages/helps__articles__usage-flow.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/help-document.html","ヘルプ記事 | 何でも屋","","pages/helps__help-document.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"helps/qanda.html","Q&amp;A | 何でも屋","","pages/helps__qanda.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"house.html","何でも屋ハウス | 何でも屋","何でも屋ハウスの案内ページです。","pages/house.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"index.html","何でも屋 | トップページ","何でも屋の公式トップページです。サービス、料金、申し込みフォーム、基金、ハウス案内へ移動できます。","pages/index.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"information.html","連絡先 | 何でも屋","何でも屋の連絡先、問い合わせフォーム、メール、WhatsApp、YouTubeへの案内です。","pages/information.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"Nanndemoya365.html","Nanndemoya365 | 何でも屋","GitHub Pages向けのNanndemoya共通HTMLテンプレートです。","pages/Nanndemoya365.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"NanndemoyaCloud.html","NanndemoyaCloud | 何でも屋","NanndemoyaCloudの総合ポータルページです。クラウド活用と端末・運用サポートをご案内します。","pages/NanndemoyaCloud.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"NCF.html","何でも屋基金 | 何でも屋","何でも屋基金の案内ページです。","pages/NCF.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"payment.html","お支払い方法 | 何でも屋","何でも屋で利用できるお支払い方法、ベースパック、PayPal手数料、送金による支払いの例をまとめた案内ページです。","pages/payment.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"policy.html","ポリシー | 何でも屋","何でも屋の利用規約、プライバシーポリシー、特定商取引法に基づく表記、各サービスの追加規定をまとめたポリシー一覧です。","pages/policy.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"service.html","サービス | 何でも屋","何でも屋の各サービスと料金ページへのリンク一覧です。","pages/service.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"site-links.html","何でも屋 ｜ サイトリンク","何でも屋公式サイトの主要ページ、料金表、移動代金シミュレーター、問い合わせ先へのリンク一覧です。","pages/site-links.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"templete.html","ページタイトル | 何でも屋","GitHub Pages向けのNanndemoya共通HTMLテンプレートです。","pages/templete.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"transport_cost_simulator.html","移動代金シミュレーター ｜ 何でも屋","何でも屋の移動代金シミュレーター。距離・交通手段・往復有無から、スタッフ移動費の目安を計算できます。","pages/transport_cost_simulator.fragment.html","embed-widget","Google サイトの「埋め込む」で利用する候補。"
"UserGuide.html","利用案内 | 何でも屋","何でも屋の申し込みから支払い、サービス利用完了までの流れをまとめた利用案内です。","pages/UserGuide.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
